BRANCH,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV
IGANGA,274206200,260279550,265199450,285337650,301590350,330035250,340314250,354447750,369218650,378529250,384265850
GULU,310804200,321669200,288636300,280832800,292727700,292558600,298556600,344406000,339849500,331099000,341765700
MAYUGE,261240300,251000200,251995700,254916600,249617600,242691600,275041100,272740100,276590800,343777400,344034200
PALLISA,254170300,254065800,246584300,214204000,221935200,224254900,227420100,215623100,225774100,236857400,234943100
KAMULI,204799900,211172400,204911600,205288000,219200000,219764700,232805500,220643500,238473400,250159700,263216300
HOIMA,189935400,198056900,207228700,205899900,199968800,211314800,220059500,225114900,247970500,253796400,241627300
KUMI,180571300,191168800,189864500,193546300,194411400,183513300,210416900,206405200,187817400,189896200,263119800
ARUA,184472400,182132950,179583100,193540350,192990150,194901500,201071400,201255300,218414650,211429550,206304400
KOBOKO,153262400,147427600,155109200,163151600,168791600,192339300,191253800,199714300,219063800,221302100,"221,955,400"
JINJA,149813200,156029100,123308000,159991100,168819700,191340900,205344900,232075400,266272400,230781200,273661800
ADJUMANI,166375800,160319100,159136600,171561500,177756900,177855200,196370300,171934200,199638300,243308500,234478100
MASAKA,131677300,121221900,125440300,136951100,133776700,111376300,142269300,169524200,160760600,182327650,193024100
NEBBI,74997500,83038200,85665300,87818650,88889700,89664850,93321350,95583550,106419500,135754400,140539500
KITGUM,50527200,53301500,48633900,61344600,59474900,63373900,67873900,68938800,69273500,74173300,82229800
NANSANA,0,0,0,0,0,0,0,0,17675000,28083200,34553300
KAGADI,0,0,0,0,0,0,0,0,16477500,25301800,24594900
FORT PORTAL,0,0,0,0,0,0,0,0,0,8650000,13837300
