BRANCH,JAN,FEB,MAR,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,TOTAL
IGANGA,25429300,21643000,18401500,24062700,22392500,23020200,36600500,28524100,24075400,23799600,19983800,267932600
GULU,8191400,0,10658600,11843100,7726300,8405800,8272600,8115800,8079300,8486000,7698000,87476900
MAYUGE,34523800,28748500,35357800,42978200,37360600,35276000,36518500,30081800,28469300,32188300,33059200,374562000
PALLISA,22828000,24774000,23033900,31029500,29526500,31897100,29331900,30755900,26133900,39323000,37357100,325990800
KAMULI,3492500,3743000,3446000,2664500,3055500,3704900,3647400,3976400,3935000,3779800,4435300,39880300
HOIMA,25098100,25072600,30584700,29023500,33768100,32330200,43823700,33957800,31631900,28948000,34624800,348863400
KUMI,13415100,13271000,13137000,17195600,24731700,22333000,62223600,27555200,24311200,21887300,17767300,257828000
ARUA,6360550,7384150,7985950,9402600,10181300,8798650,9620600,8252100,9053700,8910300,10869300,96819200
KOBOKO,14295400,26946700,21359700,20074600,17560200,16183700,23668500,24883200,24883200,20563600,18121800,228540600
JINJA,23156300,24560100,24786100,26486100,24678000,25130000,24246100,22947300,22974300,33519100,31976500,284459900
ADJUMANI,19972400,17519100,16041100,16319100,16312100,17253100,18091600,18421400,19225000,21137100,20510400,200802400
MASAKA,19036950,28341650,28341650,24016400,20026850,18951950,15487050,24517900,28893150,18352650,20483700,246449900
NEBBI,18490000,19611150,18380900,23806500,19988700,17891400,17948400,17870050,18873750,26607850,20686350,220155050
KITGUM,4955900,2959900,2704500,5135500,7784000,10273000,8820500,7780500,7845100,7473000,6997000,72728900
NANSANA,0,0,0,0,0,0,0,0,786700,1573400,4850000,7210100
KAGADI,0,0,0,0,0,0,0,0,0,839000,924700,1763700
FORT PORTAL,0,0,0,0,0,0,0,0,0,0,0,0
